composer,composerLabel,birth,death,countryLabel
http://www.wikidata.org/entity/Q57210,Arthur Nikisch,1855-10-12T00:00:00Z,1922-01-24T00:00:00Z,Austria
http://www.wikidata.org/entity/Q57210,Arthur Nikisch,1855-10-12T00:00:00Z,1922-01-23T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57210,Arthur Nikisch,1855-10-12T00:00:00Z,1922-01-24T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57212,Anna Magdalena Bach,1701-09-22T00:00:00Z,1760-02-27T00:00:00Z,Electorate of Saxony
http://www.wikidata.org/entity/Q57213,James Last,1929-04-17T00:00:00Z,2015-06-09T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57225,Johann Christoph Friedrich Bach,1732-06-21T00:00:00Z,1795-01-26T00:00:00Z,Electorate of Saxony
http://www.wikidata.org/entity/Q57226,Louis Spohr,1784-04-05T00:00:00Z,1859-10-22T00:00:00Z,Duchy of Brunswick
http://www.wikidata.org/entity/Q57231,Tom Tykwer,1965-05-23T00:00:00Z,,Germany
http://www.wikidata.org/entity/Q57236,Bettina von Arnim,1785-04-04T00:00:00Z,1859-01-20T00:00:00Z,Free City of Frankfurt
http://www.wikidata.org/entity/Q57244,Paul Hindemith,1895-11-16T00:00:00Z,1963-12-28T00:00:00Z,United States
http://www.wikidata.org/entity/Q57244,Paul Hindemith,1895-11-16T00:00:00Z,1963-12-28T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57244,Paul Hindemith,1895-11-16T00:00:00Z,1963-12-28T00:00:00Z,West Germany
http://www.wikidata.org/entity/Q57247,Edgard Varèse,1883-12-22T00:00:00Z,1965-11-06T00:00:00Z,France
http://www.wikidata.org/entity/Q57257,Peter Cornelius,1824-12-24T00:00:00Z,1874-10-26T00:00:00Z,Grand Duchy of Hesse
http://www.wikidata.org/entity/Q57258,Ivo Josipović,1957-08-28T00:00:00Z,,Croatia
http://www.wikidata.org/entity/Q57275,Ermanno Wolf-Ferrari,1876-01-12T00:00:00Z,1948-01-21T00:00:00Z,Italy
http://www.wikidata.org/entity/Q57275,Ermanno Wolf-Ferrari,1876-01-12T00:00:00Z,1948-01-21T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57275,Ermanno Wolf-Ferrari,1876-01-12T00:00:00Z,1948-01-21T00:00:00Z,Kingdom of Italy
http://www.wikidata.org/entity/Q57285,Wilhelm Furtwängler,1886-01-25T00:00:00Z,1954-11-30T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57286,Fanny Mendelssohn,1805-11-14T00:00:00Z,1847-05-14T00:00:00Z,Hamburg
http://www.wikidata.org/entity/Q57307,Annette von Droste-Hülshoff,1797-01-12T00:00:00Z,1848-05-24T00:00:00Z,
http://www.wikidata.org/entity/Q57339,Don McLean,1945-10-02T00:00:00Z,,United States
http://www.wikidata.org/entity/Q57358,Hans Pfitzner,1869-05-05T00:00:00Z,1949-05-22T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57369,Nicolaus Bruhns,1665-01-01T00:00:00Z,1697-04-08T00:00:00Z,Duchy of Schleswig
http://www.wikidata.org/entity/Q57369,Nicolaus Bruhns,1665-01-01T00:00:00Z,1697-04-08T00:00:00Z,Kingdom of Denmark
http://www.wikidata.org/entity/Q57396,Ivan Rebroff,1931-07-31T00:00:00Z,2008-02-27T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57425,Hans Knappertsbusch,1888-03-12T00:00:00Z,1965-10-25T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57425,Hans Knappertsbusch,1888-03-12T00:00:00Z,1965-10-25T00:00:00Z,Kingdom of Prussia
http://www.wikidata.org/entity/Q57428,Georg V of Hanover,1819-05-27T00:00:00Z,1878-06-12T00:00:00Z,Kingdom of Hanover
http://www.wikidata.org/entity/Q57428,Georg V of Hanover,1819-05-27T00:00:00Z,1878-06-12T00:00:00Z,United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q57500,Hermann Abendroth,1883-01-19T00:00:00Z,1956-05-29T00:00:00Z,German Democratic Republic
http://www.wikidata.org/entity/Q57507,"Ernest Louis, Grand Duke of Hesse and by Rhine",1868-11-25T00:00:00Z,1937-10-09T00:00:00Z,Grand Duchy of Hesse
http://www.wikidata.org/entity/Q57507,"Ernest Louis, Grand Duke of Hesse and by Rhine",1868-11-25T00:00:00Z,1937-10-09T00:00:00Z,German Reich
http://www.wikidata.org/entity/Q57577,Ramin Djawadi,1974-07-19T00:00:00Z,,Germany
http://www.wikidata.org/entity/Q57619,Frank Wedekind,1864-07-24T00:00:00Z,1918-03-09T00:00:00Z,Kingdom of Prussia
http://www.wikidata.org/entity/Q57642,Michael Schenker,1955-01-10T00:00:00Z,,Germany
http://www.wikidata.org/entity/Q57696,Curt Sachs,1881-06-29T00:00:00Z,1959-02-05T00:00:00Z,United States
http://www.wikidata.org/entity/Q57696,Curt Sachs,1881-06-29T00:00:00Z,1959-02-05T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57704,Élisabeth Jacquet de La Guerre,1665-03-01T00:00:00Z,1729-06-27T00:00:00Z,Kingdom of France
http://www.wikidata.org/entity/Q57713,Winifred Wagner,1897-06-23T00:00:00Z,1980-03-05T00:00:00Z,United Kingdom
http://www.wikidata.org/entity/Q57713,Winifred Wagner,1897-06-23T00:00:00Z,1980-03-05T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57784,Markus Schulz,1975-02-03T00:00:00Z,,United States
http://www.wikidata.org/entity/Q57784,Markus Schulz,1975-02-03T00:00:00Z,,Germany
http://www.wikidata.org/entity/Q57807,Georg Böhm,1661-09-02T00:00:00Z,1733-05-18T00:00:00Z,Holy Roman Empire
http://www.wikidata.org/entity/Q57827,Johann Hermann Schein,1586-01-20T00:00:00Z,1630-11-19T00:00:00Z,Electorate of Saxony
http://www.wikidata.org/entity/Q57829,Johann Christoph Bach I,1642-12-06T00:00:00Z,1703-03-31T00:00:00Z,Schwarzburg-Sondershausen
http://www.wikidata.org/entity/Q57833,Klaus Badelt,1967-06-12T00:00:00Z,,Germany
http://www.wikidata.org/entity/Q57841,"Maximilian III Joseph, Elector of Bavaria",1727-03-28T00:00:00Z,1777-12-30T00:00:00Z,Electorate of Bavaria
http://www.wikidata.org/entity/Q57845,Caroline Amalie of Augustenburg,1796-06-28T00:00:00Z,1881-03-09T00:00:00Z,Kingdom of Denmark
http://www.wikidata.org/entity/Q57879,Wilhelm Müller,1794-10-07T00:00:00Z,1827-09-30T00:00:00Z,Anhalt-Dessau
http://www.wikidata.org/entity/Q57922,Johann Nikolaus Forkel,1749-02-22T00:00:00Z,1818-03-20T00:00:00Z,Saxe-Coburg-Saalfeld
http://www.wikidata.org/entity/Q57981,Peter Schreier,1935-07-29T00:00:00Z,2019-12-25T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57981,Peter Schreier,1935-07-29T00:00:00Z,2019-12-25T00:00:00Z,German Democratic Republic
http://www.wikidata.org/entity/Q58008,Ludwig Senfl,1486-01-01T00:00:00Z,1543-01-01T00:00:00Z,Prince-Bishopric of Basel
http://www.wikidata.org/entity/Q58008,Ludwig Senfl,1490-01-01T00:00:00Z,1543-01-01T00:00:00Z,Prince-Bishopric of Basel
http://www.wikidata.org/entity/Q58168,Nolwenn Leroy,1982-09-28T00:00:00Z,,France
http://www.wikidata.org/entity/Q58857,Carl Friedrich Zelter,1758-12-11T00:00:00Z,1832-05-15T00:00:00Z,Kingdom of Prussia
http://www.wikidata.org/entity/Q59062,Vladimír Franz,1959-05-25T00:00:00Z,,Czech Republic
http://www.wikidata.org/entity/Q59393,Yank Barry,1948-01-29T00:00:00Z,,Canada
http://www.wikidata.org/entity/Q59539,Vincenzo Spampinato,1953-12-04T00:00:00Z,,Italy
http://www.wikidata.org/entity/Q59765,Simone Mantia,1873-02-06T00:00:00Z,1951-06-25T00:00:00Z,United States
http://www.wikidata.org/entity/Q60119,Christoph Brüx,1965-12-13T00:00:00Z,,Germany
http://www.wikidata.org/entity/Q60174,Hermann Scherchen,1891-06-21T00:00:00Z,1966-06-12T00:00:00Z,Germany
http://www.wikidata.org/entity/Q60194,Sonique,1965-06-21T00:00:00Z,,United Kingdom
http://www.wikidata.org/entity/Q60197,Alfred Einstein,1880-12-30T00:00:00Z,1952-02-13T00:00:00Z,United States
http://www.wikidata.org/entity/Q60197,Alfred Einstein,1880-12-30T00:00:00Z,1952-02-13T00:00:00Z,Germany
http://www.wikidata.org/entity/Q60256,Wilhelm Backhaus,1884-03-26T00:00:00Z,1969-07-05T00:00:00Z,Switzerland
http://www.wikidata.org/entity/Q60256,Wilhelm Backhaus,1884-03-26T00:00:00Z,1969-07-05T00:00:00Z,Germany
http://www.wikidata.org/entity/Q60268,Lou Bega,1975-04-13T00:00:00Z,,Germany
http://www.wikidata.org/entity/Q60441,Valeri Brainin,1948-01-27T00:00:00Z,,Germany
http://www.wikidata.org/entity/Q60441,Valeri Brainin,1948-01-27T00:00:00Z,,Soviet Union
http://www.wikidata.org/entity/Q60452,Wolfgang Wagner,1919-08-30T00:00:00Z,2010-03-21T00:00:00Z,Germany
http://www.wikidata.org/entity/Q60465,Wieland Wagner,1917-01-05T00:00:00Z,1966-10-17T00:00:00Z,Germany
http://www.wikidata.org/entity/Q60531,Wolfgang Schmieder,1901-05-29T00:00:00Z,1990-11-08T00:00:00Z,Germany
http://www.wikidata.org/entity/Q60724,Johann Jakob Froberger,1616-05-28T00:00:00Z,1667-05-17T00:00:00Z,Duchy of Württemberg
http://www.wikidata.org/entity/Q60908,Moritz Hauptmann,1792-10-13T00:00:00Z,1868-01-03T00:00:00Z,Kingdom of Saxony
http://www.wikidata.org/entity/Q60914,Johann Gottlieb Goldberg,1727-01-01T00:00:00Z,1756-04-13T00:00:00Z,Kingdom of Prussia
http://www.wikidata.org/entity/Q60965,Johann Friedrich Agricola,1720-01-04T00:00:00Z,1774-12-02T00:00:00Z,Saxe-Gotha-Altenburg
http://www.wikidata.org/entity/Q60970,Sakis Rouvas,1972-01-05T00:00:00Z,,Greece
http://www.wikidata.org/entity/Q44909,Candye Kane,1961-11-13T00:00:00Z,2016-05-06T00:00:00Z,United States
http://www.wikidata.org/entity/Q44927,Joseph Lanner,1801-04-12T00:00:00Z,1843-04-14T00:00:00Z,Austrian Empire
http://www.wikidata.org/entity/Q44934,Venantius Fortunatus,0530-01-01T00:00:00Z,0609-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q45036,Nek,1972-01-06T00:00:00Z,,Italy
http://www.wikidata.org/entity/Q45095,Robert Stolz,1880-08-25T00:00:00Z,1975-06-27T00:00:00Z,Austria
http://www.wikidata.org/entity/Q45105,Oswald von Wolkenstein,1377-01-01T00:00:00Z,1445-08-11T00:00:00Z,County of Tyrol
http://www.wikidata.org/entity/Q45124,Hamza Hakimzade Niyazi,1889-03-06T00:00:00Z,1929-03-18T00:00:00Z,Soviet Union
http://www.wikidata.org/entity/Q45124,Hamza Hakimzade Niyazi,1889-03-06T00:00:00Z,1929-03-18T00:00:00Z,Russian Empire
http://www.wikidata.org/entity/Q45189,Marc-André Hamelin,1961-09-05T00:00:00Z,,Canada
http://www.wikidata.org/entity/Q45213,Anton Karas,1906-07-07T00:00:00Z,1985-01-10T00:00:00Z,Austria
http://www.wikidata.org/entity/Q45226,Alf Poier,1967-02-22T00:00:00Z,,Austria
http://www.wikidata.org/entity/Q45275,Georg Kreisler,1922-07-18T00:00:00Z,2011-11-22T00:00:00Z,United States
http://www.wikidata.org/entity/Q45362,Bijou Phillips,1980-04-01T00:00:00Z,,United States
http://www.wikidata.org/entity/Q45365,Gerhard Bronner,1922-10-23T00:00:00Z,2007-01-19T00:00:00Z,Austria
http://www.wikidata.org/entity/Q45373,Konstantin Wecker,1947-06-01T00:00:00Z,,Germany
http://www.wikidata.org/entity/Q45392,Q45392,1930-02-12T00:00:00Z,,Austria
http://www.wikidata.org/entity/Q45402,Rainhard Fendrich,1955-02-27T00:00:00Z,,Austria
http://www.wikidata.org/entity/Q45419,Ernst Mosch,1925-11-07T00:00:00Z,1999-05-15T00:00:00Z,Germany
http://www.wikidata.org/entity/Q45520,Oliver Riedel,1971-04-11T00:00:00Z,,Germany
http://www.wikidata.org/entity/Q45545,Hermann Leopoldi,1888-08-15T00:00:00Z,1959-06-28T00:00:00Z,Austria
http://www.wikidata.org/entity/Q45562,Gustav Pick,1832-12-10T00:00:00Z,1921-04-29T00:00:00Z,Austria
http://www.wikidata.org/entity/Q45596,Ludwig Gruber,1874-07-13T00:00:00Z,1964-07-17T00:00:00Z,Austria
http://www.wikidata.org/entity/Q45610,Acker Bilk,1929-01-28T00:00:00Z,2014-11-02T00:00:00Z,United Kingdom
http://www.wikidata.org/entity/Q45631,Thomas Raber,1972-11-20T00:00:00Z,,Austria
http://www.wikidata.org/entity/Q45682,Jean Sibelius,1865-12-08T00:00:00Z,1957-09-20T00:00:00Z,Finland
http://www.wikidata.org/entity/Q45682,Jean Sibelius,1865-12-08T00:00:00Z,1957-09-20T00:00:00Z,Grand Duchy of Finland
http://www.wikidata.org/entity/Q45909,John Cale,1942-03-09T00:00:00Z,,United Kingdom
http://www.wikidata.org/entity/Q46004,Temistocle Popa,1921-06-27T00:00:00Z,2013-11-26T00:00:00Z,Romania
http://www.wikidata.org/entity/Q46087,Anouk,1975-04-08T00:00:00Z,,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q46096,Felix Mendelssohn,1809-02-03T00:00:00Z,1847-11-04T00:00:00Z,Hamburg
http://www.wikidata.org/entity/Q46096,Felix Mendelssohn,1809-02-03T00:00:00Z,1847-11-04T00:00:00Z,Kingdom of Saxony
http://www.wikidata.org/entity/Q46100,Eugen Suchoň,1908-09-25T00:00:00Z,1993-08-05T00:00:00Z,Slovakia
http://www.wikidata.org/entity/Q46132,Alvin Lee,1944-12-19T00:00:00Z,2013-03-06T00:00:00Z,United Kingdom
http://www.wikidata.org/entity/Q46391,Tarateño Rojas,1917-01-04T00:00:00Z,2001-08-07T00:00:00Z,Bolivia
http://www.wikidata.org/entity/Q46548,Vladas Jakubėnas,1904-05-15T00:00:00Z,1976-12-13T00:00:00Z,Lithuania
http://www.wikidata.org/entity/Q46636,Jack Kevorkian,1928-05-26T00:00:00Z,2011-06-03T00:00:00Z,United States
http://www.wikidata.org/entity/Q46755,Benny Goodman,1909-05-30T00:00:00Z,1986-06-13T00:00:00Z,United States
http://www.wikidata.org/entity/Q46976,Chris Poland,1957-12-01T00:00:00Z,,United States
http://www.wikidata.org/entity/Q47122,Enrique Iglesias,1975-05-08T00:00:00Z,,Spain
http://www.wikidata.org/entity/Q47284,Robert Rodriguez,1968-06-20T00:00:00Z,,United States
http://www.wikidata.org/entity/Q47595,Alfonso X of Castile and Leon,1221-11-30T00:00:00Z,1284-04-11T00:00:00Z,Crown of Castile
http://www.wikidata.org/entity/Q48173,Bedřich Smetana,1824-03-02T00:00:00Z,1884-05-12T00:00:00Z,Austria–Hungary
http://www.wikidata.org/entity/Q48173,Bedřich Smetana,1824-03-02T00:00:00Z,1884-05-12T00:00:00Z,Austrian Empire
http://www.wikidata.org/entity/Q48184,György Kurtág,1926-02-19T00:00:00Z,,Hungary
http://www.wikidata.org/entity/Q48184,György Kurtág,1926-02-19T00:00:00Z,,France
http://www.wikidata.org/entity/Q48184,György Kurtág,1926-02-19T00:00:00Z,,Romania
http://www.wikidata.org/entity/Q48187,Eric Clapton,1945-03-30T00:00:00Z,,United States
http://www.wikidata.org/entity/Q48187,Eric Clapton,1945-03-30T00:00:00Z,,United Kingdom
http://www.wikidata.org/entity/Q48345,Johann Christoph Bach II,1645-02-22T00:00:00Z,1693-09-07T00:00:00Z,Germany
http://www.wikidata.org/entity/Q48363,Rudolf Friml,1879-12-02T00:00:00Z,1972-01-12T00:00:00Z,United States
http://www.wikidata.org/entity/Q48363,Rudolf Friml,1879-12-07T00:00:00Z,1972-01-12T00:00:00Z,United States
http://www.wikidata.org/entity/Q48363,Rudolf Friml,1879-12-02T00:00:00Z,1972-11-12T00:00:00Z,United States
http://www.wikidata.org/entity/Q48363,Rudolf Friml,1879-12-07T00:00:00Z,1972-11-12T00:00:00Z,United States
http://www.wikidata.org/entity/Q48363,Rudolf Friml,1879-12-02T00:00:00Z,1972-01-12T00:00:00Z,Austria–Hungary
http://www.wikidata.org/entity/Q48363,Rudolf Friml,1879-12-07T00:00:00Z,1972-01-12T00:00:00Z,Austria–Hungary
http://www.wikidata.org/entity/Q48363,Rudolf Friml,1879-12-02T00:00:00Z,1972-11-12T00:00:00Z,Austria–Hungary
http://www.wikidata.org/entity/Q48363,Rudolf Friml,1879-12-07T00:00:00Z,1972-11-12T00:00:00Z,Austria–Hungary
http://www.wikidata.org/entity/Q48659,Eduardo Fabini,1882-05-18T00:00:00Z,1950-05-17T00:00:00Z,Uruguay
http://www.wikidata.org/entity/Q48659,Eduardo Fabini,1883-01-01T00:00:00Z,1950-05-17T00:00:00Z,Uruguay
http://www.wikidata.org/entity/Q48975,John Debney,1956-08-18T00:00:00Z,,United States
http://www.wikidata.org/entity/Q48987,Jonathan Demme,1944-02-22T00:00:00Z,2017-04-26T00:00:00Z,United States
http://www.wikidata.org/entity/Q48996,Randy Brecker,1945-11-27T00:00:00Z,,United States
http://www.wikidata.org/entity/Q48999,Richie Furay,1944-05-09T00:00:00Z,,United States
http://www.wikidata.org/entity/Q49001,Whoopi Goldberg,1955-11-13T00:00:00Z,,United States
http://www.wikidata.org/entity/Q49277,Daphne Oram,1925-12-31T00:00:00Z,2003-01-05T00:00:00Z,United Kingdom
http://www.wikidata.org/entity/Q49277,Daphne Oram,1925-12-31T00:00:00Z,2003-01-05T00:00:00Z,United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q49319,Aloe Blacc,1979-01-07T00:00:00Z,,United States
http://www.wikidata.org/entity/Q49325,Albert Schweitzer,1875-01-14T00:00:00Z,1965-09-04T00:00:00Z,France
http://www.wikidata.org/entity/Q49325,Albert Schweitzer,1875-01-14T00:00:00Z,1965-09-04T00:00:00Z,German Reich
http://www.wikidata.org/entity/Q49388,Georg Friedrich Haas,1953-08-16T00:00:00Z,,Austria
http://www.wikidata.org/entity/Q49481,Sergei Prokofiev,1891-04-23T00:00:00Z,1953-03-05T00:00:00Z,Soviet Union
http://www.wikidata.org/entity/Q49481,Sergei Prokofiev,1891-04-23T00:00:00Z,1953-03-05T00:00:00Z,Russian Empire
http://www.wikidata.org/entity/Q49575,Dizzy Gillespie,1917-10-21T00:00:00Z,1993-01-06T00:00:00Z,United States
http://www.wikidata.org/entity/Q49734,Cass Elliot,1941-09-19T00:00:00Z,1974-07-29T00:00:00Z,United States
http://www.wikidata.org/entity/Q49881,Marti Pellow,1965-03-23T00:00:00Z,,United Kingdom
http://www.wikidata.org/entity/Q49888,Solomon Burke,1940-03-21T00:00:00Z,2010-10-10T00:00:00Z,United States
http://www.wikidata.org/entity/Q50003,Alberto Sordi,1920-06-15T00:00:00Z,2003-02-24T00:00:00Z,Italy
http://www.wikidata.org/entity/Q50185,Louis Couperin,1626-01-01T00:00:00Z,1661-08-29T00:00:00Z,France
http://www.wikidata.org/entity/Q50186,François Couperin,1668-11-10T00:00:00Z,1733-09-11T00:00:00Z,France
http://www.wikidata.org/entity/Q50187,César Franck,1822-12-10T00:00:00Z,1890-11-08T00:00:00Z,Belgium
http://www.wikidata.org/entity/Q50187,César Franck,1822-12-10T00:00:00Z,1890-11-08T00:00:00Z,France
http://www.wikidata.org/entity/Q50187,César Franck,1822-12-10T00:00:00Z,1890-11-08T00:00:00Z,United Kingdom of the Netherlands
http://www.wikidata.org/entity/Q50656,Zacharie Astruc,1833-02-23T00:00:00Z,1907-05-24T00:00:00Z,France
http://www.wikidata.org/entity/Q50674,Borgore,1987-11-20T00:00:00Z,,Israel
http://www.wikidata.org/entity/Q50788,Paul Mauriat,1925-03-04T00:00:00Z,2006-11-03T00:00:00Z,France
http://www.wikidata.org/entity/Q50825,Stan Ridgway,1954-04-05T00:00:00Z,,United States
http://www.wikidata.org/entity/Q51088,Antonio Salieri,1750-08-18T00:00:00Z,1825-05-07T00:00:00Z,Republic of Venice
http://www.wikidata.org/entity/Q51088,Antonio Salieri,1750-08-18T00:00:00Z,1825-05-07T00:00:00Z,Austrian Empire
http://www.wikidata.org/entity/Q51094,Yuri Shevchuk,1957-05-16T00:00:00Z,,Russia
http://www.wikidata.org/entity/Q51094,Yuri Shevchuk,1957-05-16T00:00:00Z,,Soviet Union
http://www.wikidata.org/entity/Q51101,Jolin Tsai,1980-09-15T00:00:00Z,,Taiwan
http://www.wikidata.org/entity/Q51131,Nikolay Alexandrovich Lvov,1751-01-01T00:00:00Z,1804-01-02T00:00:00Z,Russian Empire
http://www.wikidata.org/entity/Q51131,Nikolay Alexandrovich Lvov,1753-05-15T00:00:00Z,1804-01-02T00:00:00Z,Russian Empire
http://www.wikidata.org/entity/Q51131,Nikolay Alexandrovich Lvov,1751-01-01T00:00:00Z,1804-01-03T00:00:00Z,Russian Empire
http://www.wikidata.org/entity/Q51131,Nikolay Alexandrovich Lvov,1753-05-15T00:00:00Z,1804-01-03T00:00:00Z,Russian Empire
http://www.wikidata.org/entity/Q51143,Adam F,1972-02-08T00:00:00Z,,United Kingdom
http://www.wikidata.org/entity/Q51510,Wolfgang Hildesheimer,1916-12-09T00:00:00Z,1991-08-21T00:00:00Z,Switzerland
http://www.wikidata.org/entity/Q51510,Wolfgang Hildesheimer,1916-12-09T00:00:00Z,1991-08-21T00:00:00Z,Mandatory Palestine
http://www.wikidata.org/entity/Q51513,Hugo von Hofmannsthal,1874-02-01T00:00:00Z,1929-07-15T00:00:00Z,Austria
http://www.wikidata.org/entity/Q51513,Hugo von Hofmannsthal,1874-02-01T00:00:00Z,1929-07-15T00:00:00Z,Germany
http://www.wikidata.org/entity/Q28999,Johann Strauss III,1866-02-16T00:00:00Z,1939-01-09T00:00:00Z,Austria
http://www.wikidata.org/entity/Q29025,Peter Connelly,1972-09-08T00:00:00Z,,United Kingdom
http://www.wikidata.org/entity/Q29043,Friedrich Glück,1792-09-23T00:00:00Z,1840-10-01T00:00:00Z,Germany
http://www.wikidata.org/entity/Q29300,Girolamo Parabosco,1524-01-01T00:00:00Z,1557-05-01T00:00:00Z,Republic of Venice
http://www.wikidata.org/entity/Q29395,Hermann Heiss,1897-12-29T00:00:00Z,1966-12-06T00:00:00Z,Germany
http://www.wikidata.org/entity/Q29487,Giulio Cesare Monteverdi,1573-01-01T00:00:00Z,1630-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q29544,Delia Derbyshire,1937-05-05T00:00:00Z,2001-07-03T00:00:00Z,United Kingdom
http://www.wikidata.org/entity/Q29577,Leonardo Vinci,1690-01-01T00:00:00Z,1730-05-27T00:00:00Z,Kingdom of Naples
http://www.wikidata.org/entity/Q29620,Johannes Schmoelling,1950-11-09T00:00:00Z,,Germany
http://www.wikidata.org/entity/Q29875,Amund Maarud,1981-04-07T00:00:00Z,,Norway
http://www.wikidata.org/entity/Q30449,Avril Lavigne,1984-09-27T00:00:00Z,,Canada
http://www.wikidata.org/entity/Q30449,Avril Lavigne,1984-09-27T00:00:00Z,,France
http://www.wikidata.org/entity/Q30567,Terry Date,1956-01-31T00:00:00Z,,United States
http://www.wikidata.org/entity/Q30587,Stan Getz,1927-02-02T00:00:00Z,1991-06-06T00:00:00Z,United States
http://www.wikidata.org/entity/Q30800,AbdolReza Razmjoo,1975-01-01T00:00:00Z,,Iran
http://www.wikidata.org/entity/Q30896,Lalaine Vergara-Paras,1987-06-03T00:00:00Z,,United States
http://www.wikidata.org/entity/Q31013,Patti LaBelle,1944-05-24T00:00:00Z,,United States
http://www.wikidata.org/entity/Q31261,Paul Kletzki,1900-03-21T00:00:00Z,1973-03-05T00:00:00Z,Poland
http://www.wikidata.org/entity/Q31481,Pierre Barouh,1934-02-19T00:00:00Z,2016-12-28T00:00:00Z,France
http://www.wikidata.org/entity/Q31959,Pat Martino,1944-08-25T00:00:00Z,2021-11-01T00:00:00Z,United States
http://www.wikidata.org/entity/Q32068,Pierre Dørge,1946-02-28T00:00:00Z,,Kingdom of Denmark
http://www.wikidata.org/entity/Q32363,Major Holley,1924-06-25T00:00:00Z,1990-10-25T00:00:00Z,United States
http://www.wikidata.org/entity/Q32394,Valgeir Sigurðsson,1971-01-01T00:00:00Z,,Iceland
http://www.wikidata.org/entity/Q32595,Gabrielle Aplin,1992-10-10T00:00:00Z,,United Kingdom
http://www.wikidata.org/entity/Q32598,Edmar Castañeda,1978-03-31T00:00:00Z,,Colombia
http://www.wikidata.org/entity/Q32626,Daniel Yvinec,1963-01-01T00:00:00Z,,France
http://www.wikidata.org/entity/Q32927,Valery Leontiev,1949-03-19T00:00:00Z,,United States
http://www.wikidata.org/entity/Q32927,Valery Leontiev,1949-03-19T00:00:00Z,,Russia
http://www.wikidata.org/entity/Q32927,Valery Leontiev,1949-03-19T00:00:00Z,,Soviet Union
http://www.wikidata.org/entity/Q32937,Domino,1970-11-09T00:00:00Z,,United States
